Quarter,Revenue,Cost of Goods Sold,Profit
"1995, Q1","$1,947.11 ","$1,679.99 ",$267.12
"1995, Q2","$1,274.70 ","$1,079.65 ",$195.05
"1995, Q3","$1,437.91 ","$1,228.08 ",$209.83
"1995, Q4","$1,929.28 ","$1,672.05 ",$257.23
"1996, Q1","$2,575.56 ","$2,246.24 ",$329.32
"1996, Q2","$1,637.18 ","$1,387.49 ",$249.69
"1996, Q3","$1,778.64 ","$1,510.14 ",$268.50
"1996, Q4","$2,007.32 ","$1,741.69 ",$265.64
"1997, Q1","$2,347.54 ","$2,005.64 ",$341.90
"1997, Q2","$1,606.55 ","$1,341.57 ",$264.98
"1997, Q3","$1,793.20 ","$1,486.05 ",$307.15
"1997, Q4","$2,106.36 ","$1,751.18 ",$355.18
"1998, Q1","$2,852.10 ","$2,378.94 ",$473.16
"1998, Q2","$1,943.66 ","$1,589.45 ",$354.22
"1998, Q3","$2,172.49 ","$1,771.78 ",$400.71
"1998, Q4","$2,492.47 ","$2,048.25 ",$444.22
"1999, Q1","$3,456.03 ","$2,840.65 ",$615.38
"1999, Q2","$2,385.43 ","$1,923.43 ",$462.00
"1999, Q3","$2,686.64 ","$2,156.12 ",$530.52
"1999, Q4","$3,107.34 ","$2,516.97 ",$590.37
"2000, Q1","$4,314.62 ","$3,504.08 ",$810.54
"2000, Q2","$2,963.72 ","$2,326.13 ",$637.59
"2000, Q3","$3,169.17 ","$2,483.43 ",$685.75
"2000, Q4","$3,732.08 ","$3,000.04 ",$732.04
"2001, Q1","$5,461.58 ","$4,290.50 ","$1,171.08"
"2001, Q2","$3,697.00 ","$2,784.00 ",$913.00
"2001, Q3","$4,164.00 ","$3,149.00 ","$1,015.00"
"2001, Q4","$4,756.00 ","$3,651.00 ","$1,105.00"
"2002, Q1","$6,980.00 ","$5,294.00 ","$1,686.00"
"2002, Q2","$4,202.00 ","$3,048.00 ","$1,154.00"
"2002, Q3","$4,624.00 ","$3,399.00 ","$1,225.00"
"2002, Q4","$5,131.00 ","$3,802.00 ","$1,329.00"
"2003, Q1","$6,989.00 ","$5,151.00 ","$1,838.00"
"2003, Q2","$4,668.00 ","$3,390.00 ","$1,278.00"
"2003, Q3","$5,399.00 ","$3,938.00 ","$1,461.00"
"2003, Q4","$6,032.00 ","$4,666.00 ","$1,366.00"
"2004, Q1","$8,449.00 ","$6,298.00 ","$2,151.00"
"2004, Q2","$5,479.00 ","$4,065.00 ","$1,414.00"
"2004, Q3","$6,081.00 ","$4,508.00 ","$1,573.00"
"2004, Q4","$6,646.00 ","$4,997.00 ","$1,649.00"
"2005, Q1","$9,227.00 ","$6,909.00 ","$2,318.00"
"2005, Q2","$6,118.00 ","$4,451.00 ","$1,667.00"
"2005, Q3","$6,702.00 ","$4,878.00 ","$1,824.00"
"2005, Q4","$7,335.00 ","$5,436.00 ","$1,899.00"
"2006, Q1","$10,693.00 ","$7,901.00 ","$2,792.00"
"2006, Q2","$6,959.00 ","$5,073.00 ","$1,886.00"
"2006, Q3","$7,603.00 ","$5,576.00 ","$2,027.00"
"2006, Q4","$8,473.00 ","$6,355.00 ","$2,118.00"
"2007, Q1","$12,899.00 ","$9,652.00 ","$3,247.00"
"2007, Q2","$7,927.00 ","$5,900.00 ","$2,027.00"
"2007, Q3","$8,750.00 ","$6,467.00 ","$2,283.00"
"2007, Q4","$9,928.00 ","$7,451.00 ","$2,477.00"
"2008, Q1","$13,418.00 ","$10,079.00 ","$3,339.00"
"2008, Q2","$8,990.00 ","$6,704.00 ","$2,286.00"
"2008, Q3","$9,801.00 ","$7,260.00 ","$2,541.00"
"2008, Q4","$11,500.00 ","$8,390.00 ","$3,110.00"
"2009, Q1","$14,724.00 ","$10,870.00 ","$3,854.00"
"2009, Q2","$10,095.00 ","$7,321.00 ","$2,774.00"
"2009, Q3","$11,022.00 ","$8,106.00 ","$2,916.00"
"2009, Q4","$12,024.00 ","$8,851.00 ","$3,173.00"
"2010, Q1","$16,553.00 ","$12,330.00 ","$4,223.00"
"2010, Q2","$10,787.00 ","$7,751.00 ","$3,036.00"
"2010, Q3","$11,339.00 ","$8,183.00 ","$3,156.00"
"2010, Q4","$11,890.00 ","$8,657.00 ","$3,233.00"
"2011, Q1","$16,256.00 ","$12,042.00 ","$4,214.00"
"2011, Q2","$10,940.00 ","$7,936.00 ","$3,004.00"
"2011, Q3","$11,347.00 ","$8,236.00 ","$3,111.00"
"2011, Q4","$11,788.00 ","$8,681.00 ","$3,107.00"
"2012, Q1","$16,630.00 ","$12,315.00 ","$4,315.00"
"2012, Q2",,,
"2012, Q3",,,
"2012, Q4",,,
